Urdu	Roman Urdu	English	Ur-Rom	Ur-En	
يٹٹراسٹٔو	attractive	attractive	1	1	
ڈان	don	newsdesk	5	1	
بندے	bande	evil	5	1	
ان	un	them	5	3	
بروتھر	brother	brother	5	5	
ے	ye	whipping	5	1	
رین	never	racers	1	1	
کہانی	kahani	plotline	5	4	
ہارنے	harnay	feating	5	1	
شارق	shariq	apprecited	5	1	
اطاعت	itaa'at	subserviency	4	5	
زرا	zara	zara	5	5	
فرات	faraat	euphrates	5	5	
نقصان	nuqsan	damage	5	5	
بتاوں	btaon	truth	5	4	
نامہ	nama	viage	5	1	
6	6	6	5	5	
نسبت	nisbat	relative	5	4	
خشبو	khushbo	sinthetic	5	1	
بسانا	basana	boyfriend	5	1	
کہن	khan	khan	2	2	
مونڈے	monday	monday	5	5	
رنگت	zarad	coloration	1	5	
برفی	barfee	suvr	5	1	
بیہودہ	behoda	squeamishly	5	3	
کوم	com	sate3	5	1	
ہیٹ	het	netting	3	1	
اشيس	ashes	ashes	5	5	
رحمت	ra	ayone	1	1	
آرہی	a	appears	1	3	
مورخہ	morkha	unveild	5	1	
مسےوز	misuse	misuse	5	5	
تسی	tusi	osobie	5	1	
شعروشاعری	shaairi	poeticizing	5	4	
بلند	buland	lofty	5	1	
للہ	bismillah	10,alhamdulillah	2	1	
بجتی	bajti	creaking	5	3	
ھاتھ	hath	hath	5	5	
جاری	jari	ceasing	5	1	
شہر	shehar	city	5	5	
تقاضوں	taqazoon	openness	5	1	
مہندی	mehndi	nappali	5	1	
انسان	insan	beings	5	2	
تفصیل	detail	detailed	2	5	
ممبروں	membro	seniorities	5	4	
ريميمبير	remember	remember	5	5	
30	30	30	5	5	
اترنے	usaysagar	there's	1	1	
گولی	goli	bullet	5	5	
سنار	sinar	majoun	5	1	
کھلتے	khiltay	congregate	5	2	
نئور	never	never	5	5	
توڑنے	torny	breaking	5	5	
جانياري	january	january	5	5	
ارشاد	arshad	exhortation	5	4	
فقیروں	faqiron	adornments	5	1	
لالی	lali	volte	2	1	
مدت	mudat	time	5	4	
صائم	saim	kahm	5	1	
نیٹ	net	network	5	4	
سٹانڈ	stand	stand	5	5	
پھول	phool	flowers	5	5	
فالو	follow	hundred	5	1	
ٹهندر	thunder	thunder	5	5	
فورس	force	dflt	5	1	
سمول	small	small	5	5	
ٹھنڈا	thanda	chilled	5	5	
حبیب	habibjaan	omed	3	1	
مدیحہ	madiha	praisefm	5	3	
مارتے	marty	kill	5	5	
جیتنے	jety	win	3	5	
اکسيپٹانس	acceptance	acceptance	5	5	
واپس	wapis	return	5	5	
عزاب	azab	torment	5	5	
تھکن	thakan	fatigued	5	5	
ڈیوٹی	dute	units	5	3	
ہاہا	hahahahahaha	hotrod	4	1	
جینے	jeene	haping	5	1	
سڑکوں	sarkon	streets	5	5	
پے	pe	drinketh	5	1	
لیٹ	late	cubicle	5	1	
شریف	shareef	gamayun	5	1	
وعدوں	vaadon	compromisers	5	1	
ایکسپریس	express	express	5	5	
صحابہ	sahaba	predestinarians	5	5	
ج	jaan	pg	2	1	
اکیلے	akele	possesing	5	1	
ڈو	do	do	5	5	
آجاؤ	ajao	begrudged	5	1	
وپپريسون	oppression	oppression	5	5	
خلاد	khiladi	messiahship	4	1	
خاکی	khake	chatoyant	5	2	
ہاته	hath	engag	5	1	
شاخوں	shakhoon	branches	5	5	
کوکو	koko	ukue	5	1	
حفاظت	hifazat	protect	5	5	
تفری	tafre	chaos	5	1	
سوچے	s0chay	overthink	5	4	
ماد	maad	remane	5	1	
اِنٹرو	intro	intro	5	5	
کتابوں	kitabon	books	5	5	
گے	gay	want	5	1	
کپتان	capton	captain	4	5	
پیچھے	peche	back	5	5	
جوف	jauf	helcium	5	1	
لڑکی	larki	girl	5	5	
تعریفیں	tarefen	defitions	5	1	
چہرہ	chehra	eyeline	5	1	
وال	sanwal	drw	2	1	
جوتے	jotey	shoes	5	5	
مال	maat	goods	3	5	
ذيرو	zero	zero	5	5	
حورسي	horse	horse	5	5	
سأو	save	save	5	5	
عشا	esha	afterfeast	5	3	
فر	fir	eat	5	1	
کروانا	krwana	it's	5	1	
سکي	sky	sky	5	5	
جتنا	jitna	much	5	3	
ناواقف	nawaqif	knowledgeable	5	1	
انھیں	unhain	fellowed	5	1	
رومیٹک	romantic	romantic	5	5	
بیٹھو	betho	unclenched	5	3	
کردو	krdo	suppossed	5	1	
کبوتر	kabotar	gleans	5	1	
چھوڑ	chor	left	5	5	
روتا	rota	asleep	5	1	
رشک	rashk	heartedness	5	5	
ارے	ary	oh	5	1	
انے	aane	menting	5	1	
موجود	mojood	there	5	4	
اوبیڈی	e	e	1	1	
گاوں	gaaon	town	5	4	
کوپی	copy	copy	5	5	
گھوڑ	ghor	dismounts	5	1	
اطلاع	itla	alerted	5	4	
پل	pal	bridge	4	5	
غير	ghair	ps	5	1	
بوڈی	body	man’s	5	1	
ہوش	hushe	comatose	2	1	
بڑی	bari	huge	5	5	
ساجن	sajan	lyric	5	1	
واقعی	waqai	surmise	5	4	
مسالا	masala	coconuts	5	1	
ٹکڑا	tukara	encased	5	1	
منکر	munkir	infidel	5	5	
مٹھا	mutha	buttered	5	1	
نائب	naib	vice	5	5	
بلیم	blame	blame	5	5	
رکھتی	rakhti	retains	5	5	
سینما	cinema	cinemas	5	4	
پؤئٹری	poetry	poetry	5	5	
بابر	baber	tigerishka	5	3	
دونٹ	dont	dont	5	5	
دعوا	dawaa	enounce	5	5	
شروع	shuru	recommenced	5	2	
رس	letilarke	administer	1	1	
آدھی	adhi	half	5	5	
بولیں	bolen	hey	5	1	
حئون	heaven	heaven	5	5	
رھا	raha	rulled	5	3	
فونز	funz	hucards	3	1	
تاڑ	taar	palisado	5	1	
حمو	humor	humor	4	4	
بننا	banna	preferred	5	1	
دکھانے	dikhane	displaying	5	5	
گريس	grace	grace	5	5	
احمر	ahmar	hormuz	5	1	
بڑے	bary	small	5	1	
سندھ	farazsindhi	indus	2	4	
پنجاب	punjab	punjab	5	5	
سینگ	seng	hornless	5	1	
قادری	qaadri	qadri	5	5	
اصل	asal	original	5	5	
ڈینجر	danger	danger	5	5	
يوز	use	use	5	5	
میں	main	in	5	1	
کروائی	krwai	1921	5	1	
وابسطہ	wabasta	affilitated	5	5	
گوم	gum	gum	5	5	
دیرا	dera	dera	5	1	
انگور	angoor	husks	5	1	
ارین	aryan	aryan	5	5	
فاروقی	z@¤firaq1	sadequain	1	1	
وجہ	waja	due	5	5	
آس	aas	greened	5	1	
ہمدرد	humdard	philanthropists	5	5	
مسکت	mscit	unenlightening	1	1	
ضرور	zarur	definitely	5	5	
بریانی	baryani	bostongurka	5	1	
بوکس	books4	ios	3	1	
اسپيک	speak	speak	5	5	
بدل	badal	changed	5	5	
مچ	match	uproars	5	1	
لکھے	leky	written	5	5	
پھیلائی	pelai	1900	5	1	
سونیا	sonia	potugal	5	1	
اللاه	allah	allah	4	1	
رہتا	rehta	stays	5	5	
تیز	taiz	slow	5	1	
طاہر	tahir	tahirakram	5	1	
فریب	fareb	monsterous	5	2	
دینی	deni	2nd	5	1	
حد	had	extent	5	5	
اجاڑ	ujar	betaken	5	1	
نیچر	neture	industy	4	1	
