Urdu	Roman-Urdu	Ur—Rom Confidence Score	English	Ur-En Confidence Score
ارین	aryan	0.8	aryan	0.726
وہی	wohi	0.75	directs	0.532
فيرنٹير	furniture	0.88	furniture	1
ونلي	only	1	only	1
آب	ab	1	warmer	0.56
پرسونل	personal	0.75	personal	0.846
نگاہیں	nigahein	0.75	eyes	1
سمیٹ	samait	0.83	freshed	0.59
اٹھے	uthe	1	cry	0.61
گلیوں	galyon	0.83	pockets	0.62
کہی	kahi	0.75	mused	0.61
ملنا	milna	0.8	choiced	0.56
کهانا	khana	1	khana	0.247
سہیلی	sahilli	0.71	fakest	0.57
بھی	b	1	furthermore	0.76
گرانڈ	grand	1	grand	1
براڈکاسٹ	broadcast	0.89	broadcast	1
نگاہ	nigah	0.8	impression	0.62
الان	elan	1	sephar	0.55
کہا	kaha	0.75	called	0.82
غير	ghair	1	ps	0.47
حوالے	hawale	0.83	pertained	0.62
سوتے	soty	0.75	heal	0.58
توڑنے	torny	0.8	breaking	0.64
فيسال	faisal	1	faisal	1
هيں	hain	1	quality	0.52
شانہ	shana	0.8	societies	1
خیال	khayal	0.83	regards	0.65
سکون	sukun	0.8	bearable	0.61
کامیاب	kaamyab	0.86	successful	0.78
نٹ	nt	1	nut's	1
چوری	chori	1	theft	0.62
تیل	tel	1	oil	1
احسان	ehsan	1	wasty	0.49
بوکس	books4	1	ios	0.53
فلور	floor	1	times	0.861
ملاتے	milatay	0.86	balize	0.56
ہوش	hushe	1	comatose	0.62
دیکھنے	dekhny	0.83	viewing	0.68
ارضی	arzi	1	geomorphic	0.65
جون	jaaun	0.8	june	0.97
بوجھل	bojhal	0.83	salvable	0.61
غلام	gulam	0.8	slave	0.51
کنارا	kinara	0.83	meandar	0.47
لاس	laso	1	all	0.5
خادم	khadim	0.83	cordially	0.57
پیا	pia	1	shortnin	0.49
باز	baaz	0.75	kicking	0.61
فضا	fiza	0.75	global	1
لامپ	lamp	1	lamp	1
اتنا	itna	1	much	0.72
جھوٹے	jhote	1	discredit	0.66
الوايز	always	0.83	always	0.948
موٹر	motor	0.8	ramp	0.66
کشمیر	kashmir	0.86	kashmir	0.7
برداشت	bardasht	0.88	endure	0.65
سچح	such	0.75	such	1
جستجو	justaju	0.71	mysteriousness	0.64
چاول	chawal	0.83	vegetables	0.72
بورنگ	borng	1	sndk	0.51
آزاد	azad	1	free	1
حورسي	horse	1	horse	1
ناک	naak	0.75	sored	0.52
بھاگ	bhag	1	fled	0.85
٤٢	42	1	42	0.177
حقیقت	haqeeqat	0.75	actuality	0.67
مروا	marwa	0.8	dishonour	0.56
ادھ	adhi	1	gypped	0.52
انگور	angoor	1	husks	0.62
رانی	rani	1	jumboo	0.53
6	6	1	6	1
ڈففيرينٹ	different	0.89	different	0.695
بناتی	bnati	1	generates	0.62
امیر	ameer	1	potentate	0.56
ڈیو	dew	1	videocd	0.6
عکس	aks	1	self	1
نادان	nadan	1	foolish	0.68
پیتے	peety	0.8	eat	0.71
بازار	bazar	1	marketplace	0.6
ڈیڈ	deadmen	0.75	driveclub	0.61
چراغوں	charaghoon	0.9	torches	0.73
داستان	dastan	1	tale	0.7
صحیح	sahi	0.75	definite	0.62
پیاسے	piyase	0.83	bloodthirsty	0.64
چڑھ	charh	0.8	fallen	0.62
پروفسثور	professor	0.89	professor	1
گزاری	guzari	0.83	toil	0.6
جمی	jmi	1	sahpc	0.47
ڈيپ	deep	0.75	deep	1
مارا	mara	1	overpowered	0.63
تیر	teer	1	arrows	0.56
پک	pk	1	twitpic	0.727
جنون	junoon	0.83	melophobia	0.55
مبارک	mubarik	0.71	tiding	0.53
ناشتے	nashta	0.83	precooked	0.58
گزرنا	guzrna	0.83	avoided	0.62
دیا	dia	1	given	1
جنکی	jinki	0.8	lividans	0.46
کرتاتھا	krta	1	unwiling	0.64
واجد	wajid	0.8	aneed	0.52
گمنام	gumnam	0.83	anonymous	0.49
نا	na	1	uncircumcision	0.334
فورا	fauran	1	immediately	0.64
غیر	ghair	1	non	0.66
درست	drust	0.8	correct	0.78
قبرستان	qabristan	0.78	cemetery	0.67
لاہوری	lahoriye	1	honary	0.51
چاشنی	chashni	1	unmelodious	0.68
ہیںک	he	1	he	1
ناظم	nazim	0.8	archdeacon	0.57
لگو	lago	0.75	walk	1
حوٹيل	hotel	1	hotel	0.855
الزام	ilzaam	0.83	alleged	0.8
دینی	deni	1	2nd	0.6
سرگوشیاں	sargoshiyanteri	0.82	scaredies	0.51
قابل	qabil	0.8	accomplishable	0.58
کہاوت	kahawat	0.71	sayings	0.312
گزار	guzar	0.8	biding	0.53
کاروبار	karobar	1	business	1
واں	wan	1	150th	0.319
محفلوں	mehfilon	0.75	soirees	0.62
ہے	hai	1	is	1
گوبھی	gobhi	1	dhodial	0.6
کاٹتے	kat'te	0.83	flatten	0.63
کؤ	ko	1	hkamhseng	0.66
پروفائل	profile	0.71	inap	0.5
زرا	zara	0.75	zara	1
۹	9	1	9	0.802
کیہں	q	1	q	0.778
امان	eman	1	peace-building	0.512
شورو	shuru	1	nrsu	0.5
ڈرو	daro	0.75	da	0.46
سلامت	salamat	0.71	unshackled	0.53
سمیع	sami	0.75	alomg	0.55
نیٹ	net	1	network	1
پروا	parwa	0.8	account	1
انھیں	unhain	1	fellowed	0.52
پھول	phool	1	flowers	0.68
نظروں	nzaron	0.83	unseeing	0.62
دہشت	dehshat	0.71	terrorist	0.78
ناراضگی	narazgi	1	resentment	0.78
پھیپھڑوں	phephron	1	hemorrhages	0.74
سارے	sare	1	core	0.47
پڑوسی	parosi	0.83	neighbour	0.72
سبھی	sabhi	0.8	sorts	0.58
بيٹ	beat	0.75	beat	1
استقبال	istiqbal	0.88	greeted	0.69
خیر	khair	1	mity	0.47
واقع	waqi	1	located	0.54
بولتی	bolti	1	speaks	0.54
مارچ	march	1	march	1
کھائی	khe	1	trench	0.9
کنو	know	1	cherryca	0.4
وضو	wazu	0.75	ablution	0.63
کافي	kafee	1	bellicum	0.43
یوں	yun	1	precisely	0.61
اختر	akhtar	0.83	banvi	0.55
اچانک	achank	1	suddenly	0.67
ڈيتھ	death	0.8	death	1
جمہوریت	jamhuriyat	0.7	democracy	1
ميٹ	meet	0.75	meet	1
سمپل	semple	0.8	dvsr	0.53
آیت	aayat	0.8	antichrist	0.61
آپکی	apki	1	edificant	0.5
مرغا	murgha	0.83	boneless	0.58
اسنے	usne	1	ing	0.4
وا	wa	1	fo	0.47
چیا	cheyia	0.8	yang	0.478
امت	umat	0.75	watchword	0.58
سوغات	soghat	1	balads	0.51
رج	rj	1	mop	0.571
هیل	hell	1	hell	1
غموں	ghamon	0.83	sadnesses	0.71
ڈوبتے	doobte	1	drown	0.65
کو	ko	1	accordingly	0.67
رکھ	rakh	0.75	kept	0.7
آم	aam	1	mango	1
ہاشمی	hashmi	1	hashmi	0.54
سید	syd	1	disciple	0.61
بانٹ	bant	1	partitioners	0.52
پہچانتا	pehchanta	0.89	knew	0.74
دھول	dhool	1	dust	0.65
يوار	your	0.75	your	0.813
رات	raat	0.75	night	1
نیند	neend	1	sleep	1
جانياري	january	1	january	0.923
ضروریات	zaroriat	0.88	benefits	0.68
تقاضوں	taqazoon	0.88	openness	0.7
ذیشان	zeshan	1	uhuh	0.46
پاتھ	path	1	nails	1
شپ	shap	0.75	entrant	0.52
ميحامميڈ	muhammed	1	muhammed	0.415
آتا	ata	1	comes	0.76
رضا	raza	0.75	civill	0.43
ھوں	hon	1	messenger	1
٦	6	1	6	1
ایسی	aisi	1	finable	0.63
سینما	cinema	0.83	cinemas	1
اصغر	asghar	0.83	alias	0.43
انتہا	inteha	0.83	stiflingly	0.6
کہیں	kahin	0.8	imaginably	0.66
منیب	munibe	0.8	aiesh	0.56
دولت	dolat	0.8	wealth	0.65
رم	rm	1	tap	0.43
گزرتی	guzarti	0.71	unintersected	0.66
نایاب	nayab	1	rarest	0.8
بول	bol	1	speaking	0.53
رومی	romi	1	fight	1
ستان	satana	0.8	vetitum	0.42
رشک	rashk	0.8	heartedness	0.7
چاہیے	chahiye	0.86	prefer	0.68
پاؤں	paon	1	shoulders	0.68
احمر	ahmar	0.8	hormuz	0.58
فرد	frd	1	widow	1
دھوتے	dhote	1	wash	0.65
فرہاد	farhad0786	0.83	zenswashbuckler	0.46
پیسوں	paiso	1	coupons	0.66
پیچھے	peche	0.8	back	0.63
کاشف	kashif	0.83	beenaroundawhile	0.52
خلیفہ	khalifa	0.71	caliphs	0.64
حارس	haris	0.8	thulth	0.48
ثوبیہ	sobia	0.8	clil	0.49
انتقال	inteqal	0.86	died	0.74
پڑا	para	0.75	beset	0.56
اباد	aabad	0.8	garfa	0.54
شرمیلا	shrmila	1	guzaarish	0.59
بیچاری	bechari	1	poor	1
منع	mana	0.75	admonishing	0.64
وهاں	wahan	0.8	townfolks	0.53
پے	pe	1	drinketh	1
صاف	saaf	0.75	softened	0.57
محدود	mehdood	0.86	restricted	0.67
سلمان	salman	0.83	salman	0.57
اف	uff	1	borders	1
احباب	ehbaab	0.83	welcome	0.67
رومو	rom0	0.75	romo	0.364
زی	z	1	kahz	0.45
جيسٹ	just	1	just	1
تماشا	tamasha	0.86	deafeningly	0.63
زویہ	zoya	0.75	zoya	0.304
بیبی	bibi	1	poisid	0.45
لاگو	lagao	0.8	implementations	0.61
پنک	punkxx	0.75	razorworks	0.6
مجید	majeed	0.83	revelation	0.62
ریو	riohfz	1	cccfff	0.68
ہاے	hi	1	cewha	0.48
انلاوفيل	unlawful	1	unlawful	1
گاز	gaze	1	buran	0.44
جوانی	jawani	0.83	babyhood	0.57
سوال	sawal	0.8	question	0.75
نکالی	nikali	0.83	extracted	0.59
راه	rah	1	unninni	0.47
لباس	libas	0.8	clothing	0.75
ڈريکٹ	direct	0.83	direct	1
معصوم	masoom	1	saviours	0.52
اشيس	ashes	1	ashes	1
کہتا	kehta	0.8	thinks	0.72
کردیں	karden	0.83	reluctant	0.7
انڈین	indians	0.83	tnsra	0.51
نجومی	najumi	0.83	astrology	0.61
اپارٹ	apart	1	apart	1
یہاں	yahan	0.8	there	0.61
انفڈيل	infidel	0.86	infidel	1
بیچینی	bechaini	1	uneasiness	0.686
ہنستا	hansta	0.83	hates	0.61
دکھی	dakhi	0.8	glimpse	0.57
لیا	lia	1	taken	0.74
رھے	rahe	0.75	collaborate	0.55
ميرا	mera	1	naoned	0.39
گھوڑ	ghor	1	dismounts	0.62
شرط	shrt	1	stipulative	0.65
اطلاع	itla	1	alerted	0.62
صفحوں	safhon	0.83	pages	0.69
ہلاک	halak	0.8	killed	1
متا	mata	0.75	infuses	0.65
آوں	aaon	1	bid	0.51
چوس	choos	1	vegitable	0.57
شامل	shamil	0.83	include	0.62
گے	gay	1	want	0.74
دوڑ	dor	1	roping	0.57
اعتبار	aitbaar	0.86	historically	1
ویت	sweetpari22	0.8	vietnam	0.6
جاتی	jati	1	can	0.68
کترینا	katrina	0.86	ibnlive	0.47
سوچتا	sochta	1	thinks	0.84
لایف	life	0.75	life	1
ستاتی	stati	1	grievously	0.554
موتھ	mother	1	rdw	0.47
ہائے	hi	1	registers	0.45
حيللو	hello	1	hello	1
جاونگا	jaaongajo	0.86	go	0.674
ہارا	haara	0.8	saikyou	0.46
احسن	ahsan	0.8	disciplinaries	0.53
پوری	puri	1	fledged	0.5
بتاتا	btata	1	assumes	0.75
حرف	hurf	0.75	apostrophe	0.65
مسافر	musafir	0.71	passenger	0.86
دنو	dino	0.75	nov	0.41
لکھتا	likhta	0.83	writes	0.67
جھک	jhuk	0.75	down	0.56
سند	send	0.75	certificate	0.61
لازم	lazim	0.8	mandative	0.6
کھایا	khaya	1	eat	0.8
گولی	goli	1	bullet	0.71
بازی	bazi	1	hitting	0.61
نی	nai	1	ulit	0.42
ٹھہرا	thehra	0.83	falled	0.58
ڈو	do	1	do	1
بھوت	bhot	1	shrilk	0.6
مکان	makan	0.8	tent	0.61
ساس	saas	0.75	daughter	0.513
هوپ	hope	1	hope	1
جعفری	jafri	1	rape’	1
جویریہ	jaweria	0.71	zuvariya	0.428
مومی	momigulzindagi	1	firematic	0.5
رسوا	ruswa	0.8	unfairy	0.58
دنوں	dino	0.75	days	0.7
کروانا	krwana	1	it's	0.774
رکا	ruka	0.75	massively	0.53
خریدار	kharidaar	0.78	consignment	0.67
ضعیف	zaeef	1	woundedness	0.58
مقابلے	muqably	0.71	defeaters	0.61
اثر	asar	0.75	influence	0.71
انجواے	enjoy	0.8	enjoy	1
تبھی	tabhi	0.8	luckily	0.6
بوند	boond	1	lekti	0.47
جیسوں	jaiso	1	encouters	0.53
گستاخ	gustaakh	0.75	selfwilled	1
وش	wish	0.75	shrg	0.42
سوہنی	sohni	1	sonir	0.61
پان	pan	1	am	0.586
نيچے	nechay	1	aftwards	0.49
نشین	nasheen	0.86	enthroning	0.56
مارو	maro	1	dogs	0.45
گلا	gila	0.75	wilted	0.59
بيسٹ	best	1	best	1
زمین	zameen	0.83	earth	1
پهلا	phela	0.8	nooon	0.46
نيا	naya	0.75	stub	0.51
میرے	mere	1	my	0.64
جور	jor	1	evils	0.42
دینے	dene	1	give	0.8
داد	daad	0.75	dad	0.799
شفیق	shafiqahmad	0.83	hurrel	0.41
کنگ	king	0.75	burger	0.424
شاخوں	shakhoon	1	branches	0.66
نشاں	nshan	1	clament	0.52
زات	zaat	0.75	antrustions	0.54
جوان	jawan	0.8	had	0.42
تباہ	tabah	0.8	destroyed	1
لپٹی	lipti	0.8	waxlike	0.63
موجوں	mauj0on	0.86	vortexes	0.68
ضروری	zaroori	0.86	necessary	0.79
تعمير	tameer	0.83	razing	0.58
ددے	dude	0.75	dude	1
کہوں	kahon	0.8	stupider	0.63
سکي	sky	1	sky	1
چين	hychain	0.71	antiano	0.46
ياحيا	yahya	1	yahya	0.797
تجارت	tijarat	0.71	trade	0.77
اشاميڈ	ashamed	1	ashamed	1
٨	8	1	8	1
مونيي	money	1	money	1
اجاڑ	ujar	1	betaken	0.55
سٹون	ston	1	gcr	0.53
بهے	b	1	b	1
اجڑے	ujre	1	hardasses	0.53
نوسي	noise	0.8	noise	1
بچوں	bachon	0.83	children	0.71
دیاہے	dia	1	contends	0.61
درد	dard	0.75	throat	0.66
سف	sfjan2	1	affad	0.46
سہتا	sehta	0.8	dejects	0.61
سنا	suna	0.75	heard	1
کیے	ky	1	make	0.67
کونٹراري	contrary	1	contrary	1
چیرمین	chairman	0.75	chairman	0.69
لاؤ	lao	1	long	1
يمار	umar	1	umar	0.6
نہانے	nahi	0.75	gorging	0.64
دار	der	1	bearing	0.54
دوسرے	dosry	0.8	other	0.68
گفتگو	guftugo	0.71	conversation	0.69
ظہبی	zahbi	0.8	wataniyya	0.58
ابی	abi	1	prophet	0.78
ماد	maad	0.75	remane	0.41
اجر	ajar	0.75	reaping	0.56
صورتحال	soratehal	0.78	situation	1
سالے	saly	0.75	weeksite	0.43
بتاتی	btati	1	33	1
کريں	kren	1	start	0.53
دیتے	dete	1	give	0.7
پہلے	pehle	0.8	before	1
تھوڑا	thora	1	slightly	0.61
برے	burey	0.75	bad	0.6
شاید	shayad	0.83	probably	0.65
بلوک	block11	1	xhol	0.36
لینی	leni	1	listened	1
ت	t	1	otiose	0.52
افواہ	afwa	1	rumours	0.87
مے	me	1	oi	0.44
سلو	slow	1	slow	1
آجاؤ	ajao	1	begrudged	0.63
تہارے	tahare	0.83	publickly	1
بولوں	bolo	1	shticks	0.54
٠٠	0	1	0	1
حافظ	hafiz	0.8	peshi	0.55
يس	us	1	us	1
بندے	bande	0.8	evil	0.58
ظلم	zulm	0.75	injustice	0.72
تعریفیں	tarefen	1	defitions	0.66
پہچانتے	pehchantay	0.9	recognizable	0.56
نزدیک	nazdeek	0.86	nearer	0.54
بلوچ	baloch	0.83	tehreek-e-insaf	1
وقار	waqar	0.8	braveness	0.57
بیگم	begum	0.8	deccas	0.46
مٹا	mita	0.75	reasses	0.54
شازیہ	shazia	0.83	heedra	0.47
فقیروں	faqiron	0.86	adornments	0.63
موقع	moqa	1	occasion	0.63
مانتا	manta	1	rejects	0.6
بجے	bje	1	pm	0.61
اصل	asal	0.75	original	0.54
ٹورس	tauras	0.83	confed	0.41
ارشاد	arshad	1	exhortation	0.68
ٹھکراتے	thukrate	0.88	appease	0.66
بہروز	behroz	0.83	youthman	0.46
ہوگی	hogi	1	will	0.8
پڑنا	prna	1	quietening	0.57
سيد	syed	0.75	bonah	0.53
مچھ	much	0.75	gharial	0.6
بويفرينڈ	boyfriend	0.89	boyfriend	1
سو	so	1	five	0.85
مفہوم	mafhoom	0.86	context	0.7
بریک	breakup	0.8	facebreaker	0.53
گود	godh	1	husbandless	0.53
هي	hykabi	1	adones	0.49
ٹارگٹ	target	0.83	prepping	1
کراذي	crazy	1	crazy	1
فول	fool	1	cockta	0.5
خبری	khabrii	0.83	news	0.72
سنانا	sunana	0.83	refercing	0.56
آہو	aaho	1	mistaya	0.43
محتاج	mohtaj	0.83	generous	0.62
اللہ	allah	0.8	merciful	0.71
دور	door	1	period	0.64
حير	hear	0.75	hear	0.805
انٹريسٹ	interest	0.88	interest	1
ریفرنس	refrence	0.86	committes	0.6
عبدل	abdul	0.8	sultani	0.6
کروائی	krwai	0.8	1921	1
شکوے	shikway	0.86	heartfully	0.64
ترمیم	tarmeem	0.86	revisions	0.68
١٨	18	1	discordian	0.52
جگنو	jugno	0.8	remake	0.57
نسلیں	naslain	0.86	ances	0.57
آسا	aasan	1	tranai	0.49
جکا	juka	0.75	food	1
میری	meri	1	my	0.55
فیملی	femly	1	bsrm	0.52
سنہری	sunehri	0.71	golden	1
اتا	ata	1	puts	0.67
مہراب	mehrabpur	0.83	murabba	0.53
چوما	chuma	1	oops	0.56
اچھا	acha	0.75	good	0.59
واپس	wapis	0.8	return	0.69
ہونی	honey	1	will	0.62
الٹا	ulta	1	spped	0.53
لالہ	lala	0.75	bikku	0.49
بسانا	basana	0.83	boyfriend	1
زین	zain	1	zen	0.599
هیر	here	1	here	1
سپیڈ	speed	1	gpass	0.57
کبوتر	kabotar	0.71	gleans	0.51
لیتا	leta	1	loses	0.75
5	5	1	5	1
انشاء	insha	1	excerp	0.54
پھیلانا	phelana	1	spread	0.81
مو	mobile	1	choreography	1
رحم	rahm	0.75	protective	0.56
آسیب	aasaib	1	homless	0.59
انٹرسٹد	interested	0.7	interested	1
باتيں	baatein	0.71	importanly	0.5
کن	kn	1	need	0.632
فقروں	faqiron	0.71	digressions	0.71
گھس	ghus	0.75	corralled	0.61
وہاں	wahan	0.8	where	0.62
غافل	ghafil	0.83	neglect	0.407
کراؤ	karao	0.8	from	1
کہتی	kahti	0.8	explains	0.66
لالی	lali	1	volte	0.45
سوگ	sog	1	mourning	0.56
ٹھیک	thek	1	checked	0.63
حیدرآباد	hyd	1	goa	0.55
نوس	news	0.75	news	1
ٹييسڈے	tuesday	1	tuesday	1
انڈا	anda	1	pouchless	0.54
الونرائیڈر	alone	0.8	alone	1
پانی	pani	1	water	1
آنس	ans	1	nein	0.46
قوین	queen	1	queen	1
کھلی	kholi	0.8	relaxed	0.54
تھرسٹ	thirst	0.83	floodlight	0.55
لوڈ	load	0.75	realplayer	0.62
پہنانا	pehnana	0.86	accessorizing	0.62
نوٹ	not	1	cheque	0.59
مشتاق	mushtaq	0.86	baksht	0.43
تصوير	tasweer	0.71	unimportance	0.51
رنگوں	rangon	0.83	colors	0.76
عبدللہ	abdullah	0.75	sharifs	0.66
پنج	panjtani	0.75	panj	0.443
انسان	insan	1	beings	0.74
برف	barf	0.75	permafrost	0.69
الجھنوں	uljhano	0.86	anxieties	0.69
تسلیم	tasleem	0.86	recognised	0.65
فصیح	faseeh	0.83	diction	0.68
بخشی	bakhshi	0.86	delivered	1
وبٹين	obtain	1	obtain	1
بتاوں	btaon	1	truth	1
بیچنے	bechny	0.83	sell	0.78
فونز	funz	1	hucards	0.61
کي	keke	1	importance	0.53
فون	ufone	0.75	phone	0.65
غرور	ghuroor	0.86	puffeth	1
ہستیاں	hastiyan	0.75	personalities	0.547
تیار	tayar	0.8	prepared	1
ہارنے	harnay	1	feating	0.58
تمھارے	tmhary	0.83	whore	0.61
ملتان	multan	0.83	multan	1
کھلتے	khiltay	0.86	congregate	0.57
کھو	kho	1	loses	0.74
بنتا	banta	0.8	18	1
جیسا	jaisa	1	similar	0.64
حواس	hawas	0.8	exoconsciousness	0.64
سونگ	song	1	sungjun	0.7
فرمان	farman	0.83	decreed	0.76
هاے	hi	1	hi	1
ارض	arz	1	geologic	0.62
گول	gol	1	cake/bread	1
طبعیت	tbiyt	1	expressionless	0.64
اسکو	usko	1	al-qaeda’	0.215
بہاروں	bahaaron	0.75	thirs	0.63
باربی	barbie	1	pump	0.4
دوٹ	idot	0.75	runnig	0.46
دوسرا	doosra	1	final	0.55
قصور	kasor	0.8	peshawar	0.56
ڈھونڈا	dhoonda	1	solves	0.58
ہیٹ	het	1	netting	0.53
آٹا	atawo	1	cornflakes	0.58
دکھانے	dikhane	0.86	displaying	0.65
ماضی	maazi	0.8	past	1
چوڑیاں	chore	1	hootches	0.65
چانس	chance	1	prefekt	0.46
رکھنا	rakhna	0.83	keeping	0.71
ٹين	ten	1	ten	1
عیدین	aridian	0.71	prayers	0.68
ورٹھ	worthless	0.8	worthless	1
تم	tm	1	stupid	0.67
کھلتا	khilta	0.83	pupates	0.55
راذا	raza	1	raza	1
انداز	andaz	1	subtly	0.69
سمرتی	smarty	0.83	dasavataram	0.61
لمبی	lambi	0.8	long	1
رضوان	rizwan	0.83	mercyb	0.52
لگی	lagi	0.75	chunwan	1
نینی	niny	1	tmcp	0.46
پشتون	pashtoonpa	0.88	pashtun	1
سایہ	saya	0.75	grown	0.52
اکسيپٹانس	acceptance	1	acceptance	0.605
بريسٹ	breast	0.83	breast	1
خوبی	khoobi	1	clever	0.62
گاؤں	gaoon	0.8	majno	0.48
لگاؤ	lagao	0.8	al-qaeda	0.693
دے	de	1	defend	0.47
مسالے	msaly	0.8	fillings	0.57
مزاق	mazak	0.8	uncouth	0.65
بهای	bhai	1	bhai	0.23
گي	ge	1	peole	0.43
حیرت	hyrat	0.8	surprising	0.69
وادے	wade	1	haudan	0.42
ادھار	udhar	1	deduct	0.58
بکھری	bikhri	0.83	scattered	1
میٹرو	mitro	1	kathyria	1
کبھی	kabhi	0.8	seldom	0.64
جوتے	jotey	1	shoes	0.64
گاڑی	gari	1	vehicle	0.66
روشنی	roshni	1	illumination	0.69
يسياللي	usually	1	usually	0.509
بارش	barish	0.83	rain	0.75
کوکو	koko	1	ukue	0.49
ٹشرٹ	t-shirt	0.71	t-shirt	0.666
شاباش	shabash	1	well	1
پیاری	pyari	1	osee	0.526
رومانٹک	romantic	0.88	romantic	1
پحيسکال	physical	0.88	physical	1
حانڈ	hand	1	hand	1
کردو	krdo	1	suppossed	0.61
شیشے	sheeshay	1	cladding	0.68
سيراوس	serious	1	serious	1
اد	add	1	vity	0.47
اللاہ	allah	1	allah	1
التجا	iltija	0.83	behooved	0.63
پينسل	pencil	0.83	pencil	1
سیس	sis	1	fewl	0.47
الفاظ	alfaz	1	words	0.77
تمی	time	0.75	time	1
ٹھہر	thehre	0.8	falled	0.62
ڈیٹیل	details	1	details	1
پروانہ	prwana	0.83		0.52
ماس	mass	1	bl	0.45
نبھا	nibha	0.8	balochistan,”	1
خشبو	khushbo	0.86	sinthetic	0.56
دلاسا	dilasa	0.83	exhorted	0.633
سیل	cel	1	phone,”	1
جھوٹ	jhoot	1	truth	0.64
کویٹا	quetta	0.83	quetta	1
دماغ	dmagh	1	nerves	0.72
چھور	chhor	1	mudded	0.56
مخلص	mukhlis	0.71	wholeheartedly	0.61
سوے	soe	1	schtik	0.48
ٹایم	time	0.75	aatv	0.57
دگنا	dugna	0.8	rewarded	1
جانتا	janta	1	knows	0.74
حسین	hussain	0.71	ad	0.53
هوی	hui	1	hui	0.458
سرخ	surkh	0.8	yellow	0.69
انگلش	english	0.86	englist	0.51
یقین	yaqeen	0.83	doubts	0.69
س	s	1	chilean	1
پرت	prat	0.75	layer	0.88
سوپر	super	0.8	astro	0.52
تھکا	thaka	0.8	snuffed	0.61
گلاس	glass	1	watchstrap	0.55
اتار	utar	1	shackles	0.61
انہوں	unhon	1	he	0.59
ساتھ	sath	1	with	0.7
زمبابوے	zimb	0.75	zimbabwe	1
جاری	jari	1	ceasing	0.65
زرد	zard	0.75	yellow	0.62
ضرور	zarur	0.8	definitely	0.7
صوبے	sube	1	provinces	0.62
ابانڈانس	abundance	1	abundance	1
است	asit	0.75	insts	0.46
ڈانس	dance	1	cabarett	0.52
دھماکہ	dhamakha	0.86	blast	0.79
لکھوں	likhun	0.83	write	0.954
پاشا	pasha	1	pasha	1
خدا	khuda	0.8	god	0.69
آدم	adam	0.75	legened	0.47
بٹھورو	bathoro	0.86	dulhendi	0.56
نشے	nashe	0.8	hungering	0.62
ترت	trat	0.75	ajochhand	0.43
قسمیں	qasmein	0.71	kinds	0.68
دیدار	didaar	0.83	dreamt	0.53
پویٹری	poetry	1	poetry	0.784
نامہ	nama	0.75	viage	0.46
اطاعت	itaa'at	0.71	subserviency	0.67
لاگ	lag	1	openned	0.53
علمی	almi	1	scholarly	0.72
ستایا	sataya	0.83	slained	0.6
آف	of	1	isf	0.51
شعبان	shabnam	0.71	feast	0.62
طوفان	tufaan	0.83	storm	0.74
نوکر	naukar	0.83	servant	0.776
شور	shor	1	resound	0.46
ٹهندر	thunder	0.71	thunder	0.48
مافیا	mafia	1	mafia	0.6
ڈريس	dress	1	dress	0.597
کچ	kuch	0.75	slurry	0.71
ڈھلتی	dhalti	0.83	imperceptibly	0.64
لگیں	lagain	0.83	pieces	1
خاموش	khamosh	1	unheard	0.6
انهیں	inhain	1	piffs	0.57
بیان	bayan	0.8	statement	0.72
وني	one	1	one	1
جامی	jami	1	our	0.56
کوک	quick	0.75	tamaraw	0.44
چل	chal	0.75	down	0.55
سامسنگ	samsung	0.86	mtron	0.62
قادری	qaadri	0.83	qadri	0.69
طالبان	taliban	0.86	taliban	1
کنڈی	kundi	0.8	nonari	0.51
ريسي	raise	1	raise	1
اشک	ashk	1	tears	1
کاٹو	kato	1	finger	1
پڑی	pari	0.75	hassansins	0.692
معني	manee	1	meaning	0.65
گالیاں	galian	1	motherfuckers	0.56
ج	jaan	1	pg	0.46
طرفدار	tarafdar	0.75	delegitimised	0.65
واقعی	waqai	1	surmise	0.68
سکی	saki	0.75	onced	0.43
پروبليم	problem	1	problem	1
فوار	four	0.75	four	1
حوصلے	hosly	0.8	demoralize	0.7
سکے	sake	0.75	could	1
بسر	basr	0.75	life	0.6
اذان	azaan	0.8	prayer	1
جینے	jeene	1	haping	0.48
کوم	com	1	sate3	1
کھلا	khila	0.8	retricted	0.54
سویٹ	sweet	1	klub	0.39
اکثر	aksar	0.8	often	1
زارا	zara	1	zara	1
پانے	pane	1	helping	0.6
پھینکتے	phenkte	1	hurl	0.7
چوپال	chopaal	0.86	screendump	0.59
ٹوينٹي	twenty	1	twenty	1
بجا	bja	1	founder	0.324
غاصب	ghasib	0.83	ghasib	0.171
اٹ	it	1	turbor	0.51
زون	czone	0.75	egat	0.5
دوا	dua	1	medication	0.78
تلاوت	talawt	0.83	reciting	0.65
نیہ	ne	1	bzou	0.44
ليگل	legal	0.8	legal	0.255
سات	saat	0.75	seven	0.93
ساڈ	sad	1	sad	1
ورلڈ	world	0.8	rankings	0.55
سمجھتی	samajhti	0.75	believes	0.7
آڑ	aar	1	mrjims	0.51
بھرا	bhara	0.8	bittered	0.62
مرنا	mrna	1	need	0.48
سٹوڈنٹس	students	0.88	affilitions	0.61
روف	roof	1	kartoo	0.49
میم	mem	1	memes	1
اپرل	april	0.8	april	1
هیں	hain	1	trive	0.39
